state,region,urban_teledensity_pct,rural_teledensity_pct,coverage_5g_pct,lat,lon
Delhi,North,178.4,0,99.9,28.7041,77.1025
Maharashtra,West,158.2,64.1,98.7,19.7515,75.7139
Karnataka,South,161.9,58.3,97.9,15.3173,75.7139
Tamil Nadu,South,149.7,62.5,96.4,11.1271,78.6569
Uttar Pradesh,North,132.5,48.2,88.3,26.8467,80.9462
West Bengal,East,140.1,45.6,85.1,22.9868,87.8550
Gujarat,West,151.3,60.8,95.2,22.2587,71.1924
Rajasthan,North,128.9,42.7,82.6,27.0238,74.2179
Bihar,East,110.4,35.9,74.8,25.0961,85.3131
Kerala,South,155.6,72.4,94.5,10.8505,76.2711
Punjab,North,145.2,55.1,90.7,31.1471,75.3412
Assam,Northeast,118.7,38.4,68.2,26.2006,92.9376
Odisha,East,121.3,40.2,71.9,20.9517,85.0985
Telangana,South,159.8,56.7,96.8,18.1124,79.0193
Madhya Pradesh,Central,124.6,39.8,76.5,22.9734,78.6569
